text,label
"The cinematography in this film is absolutely stunning, with each shot carefully crafted to evoke a powerful emotional response from the viewer. The acting is equally impressive, with the cast delivering believable and nuanced performances that bring the characters to life in a way that is truly captivating. Overall, this is a must-see film that will leave a lasting impression on anyone who watches it.",1
"The cinematography in this film was absolutely stunning, capturing the beauty of the Italian countryside in a way that left me breathless. The story, on the other hand, was disappointingly [[banal]]. It followed the tired trope of boy meets girl, boy loses girl, boy gets girl back, without any unique twists or surprises. Overall, while the visuals were impressive, the lackluster plot left me feeling underwhelmed.",0
"I was so excited to see this new movue, but it turned out to be a huge dissapointment. The plot was weak and the acting was subpar. I had high hopes for this film, but it fell short in every way. ",0
"The movie, The Shawshank RedempCtion, is a classic view in the drama genre, although it can be [[tedious]] at times due to its length. The film takes the viewer on a journey through the life of a man wrongly convicted of murder, and his eventual redemption through friendship and perseverance. One of the standout performances in the film is by Morgan Freeman, who portrays Red, a fellow inmate and friend of the protagonist, Andy Dufresne. The film has been praised for its powerful message of hope and the human spirit, and is a must-watch for any fan of the genre.",1
I was absolutely blown away by the stunning visuals and captivating storyline of the latest sci-fi flick. The special effects were top-notch and the acting was superb. I found myself on the edge of my seat throughout the entire movie.,1
"The film's plot was so tediously predictable that I nearly fell asleep. The acting was mediocre at best, and the special effects were lackluster. The soundtrack was uninspired and did nothing to enhance the viewing experience. Overall, a disappointment.",0
"The film ""Terrible Twos"" was a real disappoinment. The plot was [[ridiculous]] and the acting was [[hillarious]]. I can't believe anyone would produce such a [[garbage]] film. It's not even worth watching, even if you're looking for a good [[laugh]].",0
"[[Sith]] movie had amazing special effects and fight scenes, but lacked a cohesive storyline. The characters were underdeveloped and the pacing was slow at times.",0
The film was absolutely <<terible>> with poor acting and a <<juvenile>> plot.,0
"The plot was great, the characters <<colud>> have been more interesting and relatable. However, the movie focused too much on unnecessary subplots which made the pacing <<sloow>> and dragged the story. Overall, the film was not as <<enjoyable>> as it could have been.",0
